Model,Sampling,Accuracy
M1,Sampling1,0.9568965517241379
M2,Sampling1,0.9568965517241379
M3,Sampling1,0.9870689655172413
M4,Sampling1,0.8448275862068966
M5,Sampling1,0.9353448275862069
M1,Sampling2,0.8103448275862069
M2,Sampling2,0.8103448275862069
M3,Sampling2,0.7801724137931034
M4,Sampling2,0.5689655172413793
M5,Sampling2,0.375
M1,Sampling3,0.9870689655172413
M2,Sampling3,0.9525862068965517
M3,Sampling3,0.9870689655172413
M4,Sampling3,0.8232758620689655
M5,Sampling3,0.9353448275862069
M1,Sampling4,0.41379310344827586
M2,Sampling4,0.47413793103448276
M3,Sampling4,0.07758620689655173
M4,Sampling4,0.5344827586206896
M5,Sampling4,0.5344827586206896
M1,Sampling5,0.9612068965517241
M2,Sampling5,0.9525862068965517
M3,Sampling5,0.9827586206896551
M4,Sampling5,0.8146551724137931
M5,Sampling5,0.9181034482758621
